item;qtd_cx
PG25LA137GA00;13
82101030601;10
PG25LA136IN00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101030602;0
PG25LA137IN00;0
82101030701;10
PG25LA136MA00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101030702;0
PG25LA137MA00;0
82101030801;10
PG25LA136MX00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101030802;0
PG25LA137MX00;0
82101030901;7
PG25LA136MJ00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101030902;0
PG25LA137MJ00;0
82101031001;7
PG25LA136ZA00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101031002;0
PG25LA137ZA00;0
82101031101;7
PG25LA136RV00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101031102;0
PG25LA137RV00;0
82101031201;7
PG25LA136SE00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101031202;10
PG25LA137SE00;10
82101031301;7
PG25LA136ST00;10
PG22MA135SD00;0
PG25SA135SD00;0
PG25TA135SD00;45
PG22BA135SD00;55
82101031302;0
PG25LA137ST00;0
92102069801;0
92102069901;0
PG23LP215SDI0;0
92102069701;0
PG25LP465SD00;45
82101060301;10
PG25LA211ED00;10
PG25FA211SD00;10
PG25LA215SDA0;0
PG25LA215SDW0;0
82101060302;0
PG25LA212ED00;0
PG25FA212SD00;0
82101060303;0
PG25LA213ED00;0
PG25FA213SD00;0
PG25LA216SDA0;0
PG25LA216SDW0;0
82101060304;0
PG25LA214ED00;0
PG25FA214SD00;0
82101060401;10
PG25LA211ZG00;10
PG25FA211SD00;10
PG25LA215SDA0;0
PG25LA215SDW0;0
82101060402;0
PG25LA212ZG00;0
PG25FA212SD00;0
82101060403;0
PG25LA213ZG00;0
PG25FA213SD00;0
PG25LA216SDA0;0
PG25LA216SDW0;0
82101060404;0
PG25LA214ZG00;0
PG25FA214SD00;0
82101060501;11
PG25LA211ZS00;10
PG25FA211SD00;10
PG25LA215SDA0;0
PG25LA215SDW0;0
82101060502;14
PG25LA212ZS00;14
PG25FA212SD00;14
82101060503;10
PG25LA213ZS00;0
PG25FA213SD00;0
PG25LA216SDA0;0
